candidate,selection_score,episodes,yellow_win_rate,blue_win_rate,draw_rate,mean_elapsed_s,mean_yellow_score,mean_blue_score,mean_yellow_alive,mean_blue_alive,mean_yellow_kills,mean_blue_kills,mean_yellow_base_hp,mean_blue_base_hp,mean_robot_contacts,mean_obstacle_contacts,mean_yellow_base_damage,mean_blue_base_damage,mean_yellow_shielded_base_shots,mean_blue_shielded_base_shots,mean_yellow_base_open_rate,mean_blue_base_open_rate,mean_final_zone_state,p95_robot_contacts,p95_obstacle_contacts
0,10.666666666666668,24,0.7916666666666666,0.20833333333333334,0.0,33.65833333333333,226.70708333333337,138.06333333333336,45.625,46.166666666666664,3.8333333333333335,4.375,20.417499999999993,1.6749999999999965,85.375,0.0,44.366666666666674,25.217500000000005,46.291666666666664,0.0,0.20604220290524042,0.43766130710008916,"[-1.0, -0.8377, 1.0]",97.85,0.0
1,-7.199999999999999,24,0.0,1.0,0.0,24.45,8.424999999999999,234.81958333333333,46.75,44.916666666666664,5.083333333333333,3.25,0.0,45.0,126.95833333333333,0.0,0.0,46.585000000000015,60.125,0.0,0.0,0.30687884178632263,"[-1.0, -0.419, 1.0]",144.0,0.0
2,8.0,24,0.125,0.875,0.0,32.083333333333336,170.3208333333334,235.19583333333333,43.583333333333336,44.291666666666664,5.708333333333333,6.416666666666667,1.3899999999999981,13.249999999999986,83.375,0.0,31.900000000000006,45.23750000000001,50.125,0.0,0.1609256094793725,0.4379871761856145,"[-1.0, -0.6987, 1.0]",101.79999999999998,0.0
3,-9.910648148148148,24,0.0,1.0,0.0,25.883333333333336,10.205,239.17291666666665,43.875,43.541666666666664,6.458333333333333,6.125,0.0,45.0,423.9583333333333,0.0,0.0,47.1625,53.958333333333336,0.0,0.0,0.3316656510821116,"[-1.0, -0.6046, 1.0]",480.5,0.0
4,-7.199999999999999,24,0.0,1.0,0.0,24.424999999999997,8.965,234.88708333333332,46.666666666666664,44.458333333333336,5.541666666666667,3.3333333333333335,0.0,45.0,129.08333333333334,0.0,0.0,46.970000000000006,59.208333333333336,0.0,0.0,0.30710329733632996,"[-1.0, -0.4114, 1.0]",142.7,0.0
5,-7.199999999999999,24,0.0,1.0,0.0,24.541666666666668,9.20125,234.58541666666667,47.0,44.291666666666664,5.708333333333333,3.0,0.0,45.0,123.0,0.0,0.0,47.932500000000005,61.208333333333336,0.0,0.0,0.31179733506579316,"[-1.0, -0.4273, 1.0]",142.7,0.0
6,-7.199999999999999,24,0.0,1.0,0.0,24.883333333333336,9.23875,234.99041666666665,46.791666666666664,44.291666666666664,5.708333333333333,3.2083333333333335,0.0,45.0,122.91666666666667,0.0,0.0,47.547500000000014,64.54166666666667,0.0,0.0,0.318451167472746,"[-1.0, -0.4462, 1.0]",141.7,0.0
7,-7.199999999999999,24,0.0,1.0,0.0,25.008333333333336,9.31375,235.20166666666668,46.708333333333336,44.25,5.75,3.2916666666666665,0.0,45.0,125.33333333333333,0.0,0.0,47.74000000000001,66.25,0.0,0.0,0.32472974375421204,"[-1.0, -0.4614, 1.0]",145.0,0.0
8,-7.199999999999999,24,0.0,1.0,0.0,24.71666666666667,9.1275,234.56916666666666,47.083333333333336,44.375,5.625,2.9166666666666665,0.0,45.0,122.25,0.0,0.0,47.1625,62.541666666666664,0.0,0.0,0.3157717796857709,"[-1.0, -0.4368, 1.0]",138.7,0.0
9,-7.199999999999999,24,0.0,1.0,0.0,24.416666666666668,8.89125,234.73708333333332,46.833333333333336,44.541666666666664,5.458333333333333,3.1666666666666665,0.0,45.0,123.83333333333333,0.0,0.0,47.35500000000002,59.666666666666664,0.0,0.0,0.3101292371023975,"[-1.0, -0.4198, 1.0]",144.74999999999997,0.0
10,-7.199999999999999,24,0.0,1.0,0.0,24.849999999999998,9.04625,234.77666666666664,46.958333333333336,44.458333333333336,5.541666666666667,3.0416666666666665,0.0,45.0,123.20833333333333,0.0,0.0,47.932500000000005,64.08333333333333,0.0,0.0,0.3190225956978707,"[-1.0, -0.4421, 1.0]",142.54999999999998,0.0
