generation,population,episodes_seen,best_fitness,generation_best_fitness,generation_mean_fitness,sigma,probe_yellow_win_rate,probe_blue_win_rate,probe_draw_rate,probe_mean_elapsed_s,probe_mean_robot_contacts,probe_mean_obstacle_contacts,probe_mean_yellow_alive,probe_mean_blue_alive
0,16,64,480.3261911889349,480.3261911889349,401.7421617153837,0.5417500000000001,0.0,1.0,0.0,26.8,121.16666666666667,0.0,43.666666666666664,45.166666666666664
1,16,128,480.3261911889349,430.8028301124155,249.4205539092441,0.5336237500000001,0.0,1.0,0.0,26.899999999999995,132.5,0.0,44.0,44.5
2,16,192,480.3261911889349,414.6606123685579,197.7690384943409,0.5256193937500001,0.0,1.0,0.0,26.96666666666667,127.33333333333333,0.0,43.833333333333336,44.666666666666664
3,16,256,480.3261911889349,472.2218516085524,220.08446539303023,0.5177351028437501,0.0,1.0,0.0,26.400000000000002,126.16666666666667,0.0,43.166666666666664,45.833333333333336
4,16,320,480.3261911889349,459.23211496515324,280.9682371816116,0.5099690763010939,0.0,1.0,0.0,26.933333333333334,119.0,0.0,44.0,44.166666666666664
5,16,384,480.3261911889349,448.2764924122164,199.90099836087387,0.5023195401565774,0.0,1.0,0.0,26.766666666666666,126.16666666666667,0.0,43.5,44.5
6,16,448,480.3261911889349,440.78265450077436,206.81407659258724,0.49478474705422876,0.0,1.0,0.0,26.7,133.66666666666666,0.0,43.5,45.333333333333336
7,16,512,492.7658382908235,492.7658382908235,229.22713601612458,0.4873629758484153,0.0,1.0,0.0,25.266666666666666,125.33333333333333,0.0,47.0,43.666666666666664
8,16,576,502.65288370924816,502.65288370924816,240.3142026556613,0.4800525312106891,0.0,1.0,0.0,26.133333333333336,194.16666666666666,0.0,46.833333333333336,45.166666666666664
9,16,640,502.65288370924816,478.0642742758577,221.04120819762096,0.47285174324252877,0.3333333333333333,0.6666666666666666,0.0,28.36666666666667,160.83333333333334,0.0,46.666666666666664,42.666666666666664
10,16,704,502.65288370924816,393.30898837547227,188.1224923132981,0.4657589670938908,0.0,1.0,0.0,27.633333333333336,181.16666666666666,0.0,46.833333333333336,44.166666666666664
11,16,768,502.65288370924816,473.3613060781405,146.54013465353094,0.45877258258748244,0.0,1.0,0.0,26.46666666666667,195.16666666666666,0.0,47.333333333333336,44.666666666666664
12,16,832,502.65288370924816,487.09167819528744,237.65110729915165,0.4518909938486702,0.0,1.0,0.0,25.83333333333333,199.66666666666666,0.0,47.166666666666664,44.5
13,16,896,502.65288370924816,475.8765576267859,209.45469363175854,0.44511262894094017,0.0,1.0,0.0,27.666666666666668,177.83333333333334,0.0,47.0,44.0
14,16,960,502.65288370924816,485.7872031702396,259.9285612401603,0.4384359395068261,0.0,1.0,0.0,26.400000000000006,184.83333333333334,0.0,46.833333333333336,44.333333333333336
15,16,1024,502.65288370924816,501.9227782733847,185.84693653584011,0.43185940041422366,0.16666666666666666,0.8333333333333334,0.0,27.23333333333333,189.16666666666666,0.0,46.833333333333336,44.166666666666664
16,16,1088,502.65288370924816,486.6179707321997,136.63254688340373,0.4253815094080103,0.0,1.0,0.0,26.900000000000002,178.66666666666666,0.0,46.833333333333336,44.5
17,16,1152,502.65288370924816,488.5443154186239,202.86447031444393,0.4190007867668901,0.0,1.0,0.0,27.933333333333337,188.83333333333334,0.0,46.666666666666664,43.833333333333336
18,16,1216,502.65288370924816,490.59568531535166,190.70922995507453,0.41271577496538675,0.0,1.0,0.0,27.266666666666666,184.33333333333334,0.0,47.333333333333336,44.0
19,16,1280,502.65288370924816,474.02413834704714,226.66400827031964,0.4065250383409059,0.0,1.0,0.0,28.36666666666667,162.83333333333334,0.0,45.666666666666664,43.5
20,16,1344,502.65288370924816,438.94482378508474,89.84794341413146,0.4004271627657923,0.0,1.0,0.0,26.066666666666666,192.66666666666666,0.0,47.5,44.833333333333336
21,16,1408,502.65288370924816,501.6897090800478,83.7760681282485,0.3944207553243054,0.0,1.0,0.0,27.2,182.83333333333334,0.0,47.333333333333336,43.666666666666664
22,16,1472,502.65288370924816,470.49731126635925,159.80824652896445,0.38850444399444084,0.16666666666666666,0.8333333333333334,0.0,27.799999999999997,187.16666666666666,0.0,46.666666666666664,44.666666666666664
23,16,1536,506.4153603339719,506.4153603339719,131.55457404240974,0.3826768773345242,0.0,1.0,0.0,26.433333333333334,165.5,0.0,46.833333333333336,45.5
24,16,1600,506.4153603339719,449.0960585144495,161.1934961424895,0.37693672417450635,0.0,1.0,0.0,26.73333333333333,169.0,0.0,46.833333333333336,45.5
