time_s,cmd_linear_x,cmd_angular_z,linear_accel,angular_accel,odom_xy_error_m,odom_yaw_error_rad,imu_yaw_rate,imu_cmd_yaw_residual,front_scan_min_m,drift_risk
1777898539.7101,0.00335,0.0,0.0,0.0,0.00015,0.0,0.0,0.0,0.70749,0.00031
1777898539.8101,0.00835,0.0,0.04997,0.0,0.00071,0.0,0.0,0.0,0.68883,0.00141
1777898539.91,0.01335,0.0,0.05005,0.0,0.00157,0.0,0.0,0.0,0.67027,0.00315
1777898540.0099,0.01834,0.0,0.05004,0.0,0.00269,0.0,0.0,0.0,0.65186,0.00537
1777898540.1099,0.02335,0.0,0.05002,0.0,0.00399,0.0,0.0,0.0,0.63364,0.00799
1777898540.2099,0.02835,0.0,0.05,0.0,0.00545,0.0,0.0,0.0,0.6157,0.0109
1777898540.3099,0.03335,0.0,0.05001,0.0,0.00703,0.0,0.0,0.0,0.59806,0.01406
1777898540.41,0.03835,0.0,0.04998,0.0,0.00871,0.0,0.0,0.0,0.5808,0.01741
1777898540.51,0.04334,0.0,0.04997,0.0,0.01046,0.0,0.0,0.0,0.56396,0.02092
1777898540.61,0.04835,0.0,0.05003,0.0,0.01227,0.0,0.0,0.0,0.54759,0.02455
1777898540.7101,0.05335,0.0,0.04994,0.0,0.01414,0.0,0.0,0.0,0.53174,0.02828
1777898540.81,0.05835,0.0,0.05008,0.0,0.01605,0.0,0.0,0.0,0.51646,0.03209
1777898540.91,0.06335,0.0,0.04995,0.0,0.01798,0.0,0.0,0.0,0.5018,0.03597
1777898541.01,0.06835,0.0,0.04999,0.0,0.01995,0.0,0.0,0.0,0.4878,0.0399
1777898541.11,0.07335,0.0,0.05005,0.0,0.02195,0.0,0.0,0.0,0.47449,0.04389
1777898541.21,0.07835,0.0,0.05002,0.0,0.02396,0.0,0.0,0.0,0.46193,0.04792
1777898541.3099,0.08335,0.0,0.04999,0.0,0.02599,0.0,0.0,0.0,0.45015,0.05198
1777898541.41,0.08835,0.0,0.05,0.0,0.02804,0.0,0.0,0.0,0.43919,0.05608
1777898541.51,0.09335,0.0,0.04997,0.0,0.0301,0.0,0.0,0.0,0.42908,0.0602
1777898541.61,0.09835,0.0,0.04998,0.0,0.03217,0.0,0.0,0.0,0.41985,0.06435
1777898541.71,0.10335,0.0,0.05,0.0,0.03426,0.0,0.0,0.0,0.41152,0.06853
1777898541.8099,0.10835,0.0,0.05004,0.0,0.03636,0.0,0.0,0.0,0.40413,0.07273
1777898541.91,0.11335,0.0,0.04999,0.0,0.03847,0.0,0.0,0.0,0.39769,0.07694
1777898542.0099,0.11835,0.0,0.05001,0.0,0.04059,0.0,0.0,0.0,0.39223,0.08119
1777898542.1099,0.12335,0.0,0.05001,0.0,0.04273,0.0,0.0,0.0,0.38775,0.08545
1777898542.2099,0.12835,0.0,0.04999,0.0,0.04487,0.0,0.0,0.0,0.38429,0.08973
1777898542.3099,0.13335,0.0,0.05,0.0,0.04702,0.0,0.0,0.0,0.38184,0.09403
1777898542.41,0.13835,0.0,0.05003,0.0,0.04919,0.0,0.0,0.0,0.38041,0.09838
1777898542.5099,0.14335,0.0,0.04997,0.0,0.05135,0.0,0.0,0.0,0.38001,0.10269
1777898542.6101,0.14835,0.0,0.04995,0.0,0.05354,0.0,0.0,0.0,0.38063,0.10707
1777898542.7099,0.16,0.0,0.11672,0.0,0.05643,0.0,0.0,0.0,0.38229,0.11286
1777898542.8099,0.16,0.0,0.0,0.0,0.05875,0.0,0.0,0.0,0.38496,0.1175
1777898542.91,0.16,0.0,0.0,0.0,0.06063,0.0,0.0,0.0,0.38865,0.12125
1777898543.01,0.16,0.0,0.0,0.0,0.06214,0.0,0.0,0.0,0.39334,0.12429
1777898543.1099,0.16,0.0,0.0,0.0,0.0634,0.0,0.0,0.0,0.39901,0.12679
1777898543.21,0.16,0.0,0.0,0.0,0.06443,0.0,0.0,0.0,0.40566,0.12887
1777898543.31,0.16,0.0,0.0,0.0,0.0653,0.0,0.0,0.0,0.41326,0.13061
1777898543.4099,0.16,0.0,0.0,0.0,0.06605,0.0,0.0,0.0,0.42179,0.13209
1777898543.51,0.16,0.0,0.0,0.0,0.06668,0.0,0.0,0.0,0.43121,0.13337
1777898543.6099,0.16,0.0,0.0,0.0,0.06726,0.0,0.0,0.0,0.44152,0.13452
1777898543.71,0.16,0.0,0.0,0.0,0.06775,0.0,0.0,0.0,0.45266,0.1355
1777898543.81,0.16,0.0,0.0,0.0,0.06821,0.0,0.0,0.0,0.46461,0.13642
1777898543.9099,0.16,0.0,0.0,0.0,0.06864,0.0,0.0,0.0,0.47735,0.13728
1777898544.01,0.16,0.0,0.0,0.0,0.06903,0.0,0.0,0.0,0.49081,0.13805
1777898544.1099,0.16,0.0,0.0,0.0,0.06938,0.0,0.0,0.0,0.50495,0.13876
1777898544.2099,0.16,0.0,0.0,0.0,0.06973,0.0,0.0,0.0,0.51975,0.13947
1777898544.31,0.16,0.0,0.0,0.0,0.07007,0.0,0.0,0.0,0.53516,0.14013
1777898544.41,0.16,0.0,0.0,0.0,0.0704,0.0,0.0,0.0,0.55113,0.14079
1777898544.51,0.16,0.0,0.0,0.0,0.07071,0.0,0.0,0.0,0.5676,0.14141
1777898544.61,0.16,0.0,0.0,0.0,0.07102,0.0,0.0,0.0,0.58454,0.14204
1777898544.7099,0.16,0.0,0.0,0.0,0.07133,0.0,0.0,0.0,0.6019,0.14267
1777898544.81,0.16,0.0,0.0,0.0,0.07163,0.0,0.0,0.0,0.61959,0.14325
1777898544.91,0.16,0.0,0.0,0.0,0.07192,0.0,0.0,0.0,0.6376,0.14385
1777898545.01,0.16,0.0,0.0,0.0,0.07224,0.0,0.0,0.0,0.65589,0.14448
1777898545.11,0.16,0.0,0.0,0.0,0.07251,0.0,0.0,0.0,0.67431,0.14502
1777898545.2099,0.16,0.0,0.0,0.0,0.0728,0.0,0.0,0.0,0.6929,0.14561
1777898545.31,0.16,0.0,0.0,0.0,0.0731,0.0,0.0,0.0,0.71158,0.14621
1777898545.41,0.16,0.0,0.0,0.0,0.07339,0.0,0.0,0.0,0.72,0.14678
1777898545.51,0.16,0.0,0.0,0.0,0.07368,0.0,0.0,0.0,0.72,0.14736
1777898545.61,0.16,0.0,0.0,0.0,0.07397,0.0,0.0,0.0,0.72,0.14794
1777898545.7099,0.16,0.0,0.0,0.0,0.07426,0.0,0.0,0.0,0.72,0.14852
1777898545.81,0.16,0.0,0.0,0.0,0.07458,0.0,0.0,0.0,0.72,0.14915
1777898545.91,0.16,0.0,0.0,0.0,0.07484,0.0,0.0,0.0,0.72,0.14968
1777898546.01,0.16,0.0,0.0,0.0,0.07513,0.0,0.0,0.0,0.72,0.15025
1777898546.1099,0.16,0.0,0.0,0.0,0.07542,0.0,0.0,0.0,0.72,0.15083
1777898546.21,0.16,0.0,0.0,0.0,0.07571,0.0,0.0,0.0,0.72,0.15142
1777898546.3099,0.16,0.0,0.0,0.0,0.07599,0.0,0.0,0.0,0.72,0.15198
1777898546.41,0.16,0.0,0.0,0.0,0.07628,0.0,0.0,0.0,0.72,0.15255
1777898546.5101,0.16,0.0,0.0,0.0,0.07657,0.0,0.0,0.0,0.72,0.15314
1777898546.6099,0.16,0.0,0.0,0.0,0.07686,0.0,0.0,0.0,0.72,0.15373
1777898546.7099,0.17004,0.0,0.10042,0.0,0.07761,0.0,0.0,0.0,0.72,0.15521
1777898546.8099,0.18504,0.0,0.14997,0.0,0.07955,0.0,0.0,0.0,0.72,0.15911
1777898546.91,0.20005,0.0,0.1501,0.0,0.08246,0.0,0.0,0.0,0.72,0.16492
1777898547.01,0.21504,0.0,0.14994,0.0,0.08607,0.0,0.0,0.0,0.72,0.17214
1777898547.11,0.23004,0.0,0.14995,0.0,0.09028,0.0,0.0,0.0,0.72,0.18055
1777898547.21,0.24504,0.0,0.14992,0.0,0.09494,0.0,0.0,0.0,0.72,0.18988
1777898547.31,0.26004,0.0,0.15005,0.0,0.09997,0.0,0.0,0.0,0.72,0.19993
1777898547.41,0.27504,0.0,0.14998,0.0,0.10528,0.0,0.0,0.0,0.72,0.2
1777898547.51,0.29005,0.0,0.15009,0.0,0.11085,0.0,0.0,0.0,0.72,0.2
1777898547.61,0.30504,0.0,0.14998,0.0,0.11657,0.0,0.0,0.0,0.72,0.2
1777898547.71,0.32004,0.0,0.14992,0.0,0.12245,0.0,0.0,0.0,0.72,0.2
1777898547.81,0.33504,0.0,0.15004,0.0,0.12845,0.0,0.0,0.0,0.72,0.2
1777898547.9099,0.35004,0.0,0.15005,0.0,0.13456,0.0,0.0,0.0,0.72,0.2
1777898548.01,0.36504,0.0,0.14994,0.0,0.14076,0.0,0.0,0.0,0.72,0.2
1777898548.11,0.38004,0.0,0.14999,0.0,0.14701,0.0,0.0,0.0,0.72,0.2
1777898548.21,0.39504,0.0,0.15003,0.0,0.15335,0.0,0.0,0.0,0.72,0.2
1777898548.3099,0.41004,0.0,0.15003,0.0,0.15973,0.0,0.0,0.0,0.72,0.2
1777898548.41,0.42504,0.0,0.14998,0.0,0.16615,0.0,0.0,0.0,0.72,0.2
1777898548.51,0.44005,0.0,0.15007,0.0,0.17265,0.0,0.0,0.0,0.72,0.2
1777898548.61,0.45504,0.0,0.14995,0.0,0.17915,0.0,0.0,0.0,0.72,0.2
1777898548.71,0.44,0.7,0.15043,7.00026,0.18428,0.05935,0.7,0.0,0.72,0.39517
1777898548.81,0.44,0.7,0.0,0.0,0.1877,0.10475,0.7,0.0,0.72,0.25028
1777898548.91,0.44,0.7,0.0,0.0,0.19037,0.13995,0.7,0.0,0.72,0.26717
