time_s,cmd_linear_x,cmd_angular_z,linear_accel,angular_accel,odom_xy_error_m,odom_yaw_error_rad,imu_yaw_rate,imu_cmd_yaw_residual,front_scan_min_m,drift_risk
1777900980.4806,0.00502,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.70125,0.0006
1777900980.5805,0.01001,0.0,0.04999,0.0,0.00096,0.0,0.0,0.0,0.68263,0.00193
1777900980.6806,0.01501,0.0,0.05,0.0,0.00192,0.0,0.0,0.0,0.6641,0.00384
1777900980.7805,0.02001,0.0,0.05003,0.0,0.0031,0.0,0.0,0.0,0.64575,0.00621
1777900980.8806,0.02501,0.0,0.04997,0.0,0.00446,0.0,0.0,0.0,0.62763,0.00893
1777900980.9806,0.03002,0.0,0.05001,0.0,0.00597,0.0,0.0,0.0,0.60977,0.01194
1777900981.0808,0.03502,0.0,0.04997,0.0,0.00759,0.0,0.0,0.0,0.59804,0.01517
1777900981.1806,0.04001,0.0,0.05,0.0,0.00928,0.0,0.0,0.0,0.57514,0.01856
1777900981.2806,0.04502,0.0,0.05003,0.0,0.01106,0.0,0.0,0.0,0.55844,0.02212
1777900981.3806,0.05002,0.0,0.05,0.0,0.01289,0.0,0.0,0.0,0.54223,0.02579
1777900981.4806,0.05501,0.0,0.04997,0.0,0.01477,0.0,0.0,0.0,0.52658,0.02954
1777900981.5806,0.06002,0.0,0.05007,0.0,0.01669,0.0,0.0,0.0,0.51149,0.03339
1777900981.6806,0.06501,0.0,0.04992,0.0,0.01864,0.0,0.0,0.0,0.49705,0.03727
1777900981.7805,0.07001,0.0,0.05005,0.0,0.02062,0.0,0.0,0.0,0.48328,0.04123
1777900981.8806,0.07502,0.0,0.05,0.0,0.02262,0.0,0.0,0.0,0.47021,0.04524
1777900981.9806,0.08001,0.0,0.04998,0.0,0.02463,0.0,0.0,0.0,0.45792,0.04927
1777900982.0807,0.08503,0.0,0.05012,0.0,0.0267,0.0,0.0,0.0,0.45014,0.05339
1777900982.1806,0.09002,0.0,0.04989,0.0,0.02873,0.0,0.0,0.0,0.43572,0.05745
1777900982.2806,0.09502,0.0,0.05003,0.0,0.0308,0.0,0.0,0.0,0.42589,0.06159
1777900982.3808,0.10002,0.0,0.04992,0.0,0.03288,0.0,0.0,0.0,0.41696,0.06576
1777900982.4809,0.10503,0.0,0.0501,0.0,0.03787,0.0,0.0,0.0,0.41152,0.07574
1777900982.5809,0.11002,0.0,0.04985,0.0,0.03708,0.0,0.0,0.0,0.40413,0.07415
1777900982.6806,0.11502,0.0,0.05016,0.0,0.03919,0.0,0.0,0.0,0.39575,0.07837
1777900982.7805,0.12003,0.0,0.05016,0.0,0.04135,0.0,0.0,0.0,0.39061,0.08269
1777900982.8806,0.12501,0.0,0.04979,0.0,0.04343,0.0,0.0,0.0,0.38649,0.08687
1777900982.9806,0.13001,0.0,0.04999,0.0,0.04558,0.0,0.0,0.0,0.38336,0.09116
