time_s,cmd_linear_x,cmd_angular_z,linear_accel,angular_accel,odom_xy_error_m,odom_yaw_error_rad,imu_yaw_rate,imu_cmd_yaw_residual,front_scan_min_m,drift_risk
1777953872.8915,0.00503,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.7012,0.0006
1777953872.9914,0.01001,0.0,0.04989,0.0,0.00097,0.0,0.0,0.0,0.68262,0.00193
1777953873.0915,0.01501,0.0,0.04993,0.0,0.00192,0.0,0.0,0.0,0.6641,0.00384
1777953873.1914,0.02001,0.0,0.05002,0.0,0.0031,0.0,0.0,0.0,0.64576,0.0062
1777953873.2914,0.02501,0.0,0.05,0.0,0.00446,0.0,0.0,0.0,0.62764,0.00893
1777953873.3914,0.03001,0.0,0.04999,0.0,0.00596,0.0,0.0,0.0,0.60979,0.01193
1777953873.4914,0.03501,0.0,0.05005,0.0,0.00758,0.0,0.0,0.0,0.59226,0.01516
1777953873.5915,0.04001,0.0,0.04997,0.0,0.00928,0.0,0.0,0.0,0.57514,0.01857
1777953873.6914,0.04501,0.0,0.05001,0.0,0.01106,0.0,0.0,0.0,0.55845,0.02212
1777953873.7917,0.05001,0.0,0.04986,0.0,0.01289,0.0,0.0,0.0,0.54225,0.02578
1777953873.8914,0.05501,0.0,0.05013,0.0,0.01477,0.0,0.0,0.0,0.52659,0.02954
1777953873.9914,0.06001,0.0,0.05,0.0,0.01669,0.0,0.0,0.0,0.5115,0.03338
1777953874.0914,0.06501,0.0,0.05,0.0,0.01864,0.0,0.0,0.0,0.49706,0.03728
1777953874.1915,0.07001,0.0,0.04998,0.0,0.02062,0.0,0.0,0.0,0.48328,0.04124
1777953874.2914,0.07501,0.0,0.05004,0.0,0.02262,0.0,0.0,0.0,0.47022,0.04523
1777953874.3914,0.08001,0.0,0.04996,0.0,0.02463,0.0,0.0,0.0,0.45792,0.04927
1777953874.4914,0.08501,0.0,0.05002,0.0,0.02667,0.0,0.0,0.0,0.44641,0.05334
1777953874.5915,0.09001,0.0,0.04997,0.0,0.02873,0.0,0.0,0.0,0.43572,0.05745
