time_s,cmd_linear_x,cmd_angular_z,linear_accel,angular_accel,odom_xy_error_m,odom_yaw_error_rad,imu_yaw_rate,imu_cmd_yaw_residual,front_scan_min_m,drift_risk
1777958350.8971,0.00334,0.0,0.0,0.0,0.00018,0.0,0.0,0.0,0.7075,0.00036
1777958350.997,0.00835,0.0,0.05006,0.0,0.00073,0.0,0.0,0.0,0.68883,0.00145
1777958351.0971,0.01335,0.0,0.04997,0.0,0.00159,0.0,0.0,0.0,0.67026,0.00318
1777958351.1971,0.01835,0.0,0.05004,0.0,0.0027,0.0,0.0,0.0,0.65184,0.0054
1777958351.297,0.02335,0.0,0.04999,0.0,0.004,0.0,0.0,0.0,0.63364,0.008
1777958351.397,0.02835,0.0,0.05001,0.0,0.00546,0.0,0.0,0.0,0.61569,0.01092
1777958351.497,0.03336,0.0,0.05008,0.0,0.00704,0.0,0.0,0.0,0.59803,0.01409
1777958351.5971,0.03836,0.0,0.04997,0.0,0.00872,0.0,0.0,0.0,0.58076,0.01744
1777958351.6973,0.04335,0.0,0.04984,0.0,0.01047,0.0,0.0,0.0,0.56394,0.02093
1777958351.797,0.04835,0.0,0.0501,0.0,0.01227,0.0,0.0,0.0,0.54759,0.02455
1777958351.897,0.05335,0.0,0.05005,0.0,0.01415,0.0,0.0,0.0,0.53172,0.02829
1777958351.997,0.05835,0.0,0.04996,0.0,0.01605,0.0,0.0,0.0,0.51646,0.0321
1777958352.097,0.06335,0.0,0.05,0.0,0.01799,0.0,0.0,0.0,0.50179,0.03597
1777958352.197,0.06835,0.0,0.05003,0.0,0.01996,0.0,0.0,0.0,0.48779,0.03991
1777958352.2971,0.07335,0.0,0.04992,0.0,0.02195,0.0,0.0,0.0,0.47449,0.04389
1777958352.397,0.07835,0.0,0.05006,0.0,0.02396,0.0,0.0,0.0,0.46193,0.04792
1777958352.4971,0.08335,0.0,0.04995,0.0,0.02599,0.0,0.0,0.0,0.45016,0.05198
1777958352.5971,0.08835,0.0,0.04997,0.0,0.02804,0.0,0.0,0.0,0.43919,0.05608
1777958352.6971,0.09335,0.0,0.05005,0.0,0.0301,0.0,0.0,0.0,0.42908,0.0602
1777958352.797,0.09837,0.0,0.05021,0.0,0.03221,0.0,0.0,0.0,0.41981,0.06443
1777958352.8971,0.10335,0.0,0.04978,0.0,0.03426,0.0,0.0,0.0,0.41152,0.06852
1777958352.9971,0.10835,0.0,0.04999,0.0,0.03636,0.0,0.0,0.0,0.40413,0.07272
1777958353.0971,0.11335,0.0,0.05004,0.0,0.03847,0.0,0.0,0.0,0.39769,0.07695
1777958353.1972,0.11835,0.0,0.04991,0.0,0.04059,0.0,0.0,0.0,0.39223,0.08119
1777958353.2971,0.12335,0.0,0.05006,0.0,0.04272,0.0,0.0,0.0,0.38776,0.08545
1777958353.397,0.12835,0.0,0.05004,0.0,0.04487,0.0,0.0,0.0,0.38429,0.08973
